| №   | Дата/время         | Температура | Осадки (мм) |
|-----|--------------------|-------------|--------------|
| 1   | 2025-05-11T00:00   | 15.2        | 0.00         |
| 2   | 2025-05-11T01:00   | 14.8        | 0.00         |
| 3   | 2025-05-11T02:00   | 14.5        | 0.00         |
| 4   | 2025-05-11T03:00   | 14.0        | 0.00         |
| 5   | 2025-05-11T04:00   | 13.7        | 0.00         |
| 6   | 2025-05-11T05:00   | 13.5        | 0.00         |
| 7   | 2025-05-11T06:00   | 14.1        | 0.00         |
| 8   | 2025-05-11T07:00   | 16.3        | 0.00         |
| 9   | 2025-05-11T08:00   | 18.5        | 0.00         |
| 10  | 2025-05-11T09:00   | 20.8        | 0.00         |
| 11  | 2025-05-11T10:00   | 22.4        | 0.00         |
| 12  | 2025-05-11T11:00   | 23.9        | 0.00         |
| 13  | 2025-05-11T12:00   | 24.5        | 0.00         |
| 14  | 2025-05-11T13:00   | 25.1        | 0.00         |
| 15  | 2025-05-11T14:00   | 25.3        | 0.00         |
| 16  | 2025-05-11T15:00   | 24.8        | 0.00         |
| 17  | 2025-05-11T16:00   | 23.5        | 0.00         |
| 18  | 2025-05-11T17:00   | 21.7        | 0.00         |
| 19  | 2025-05-11T18:00   | 19.4        | 0.00         |
| 20  | 2025-05-11T19:00   | 17.2        | 0.00         |
| 21  | 2025-05-11T20:00   | 16.0        | 0.00         |
| 22  | 2025-05-11T21:00   | 15.5        | 0.00         |
| 23  | 2025-05-11T22:00   | 15.1        | 0.00         |
| 24  | 2025-05-11T23:00   | 14.7        | 0.00         |
